run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp,notebook_slug,kernel_version
late_seed19,minority-late,late,667,1000,3.5,19,1,0.06295004487037659,2.765413761138916,80.70549297332764,/kaggle/working/minority-guidance/results/late_seed19/samples_1x256x256x3.npz,2026-05-18T22:54:18.844535+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed20,baseline,none,0,0,0.0,20,1,2.0704985104202933e-07,15.39030647277832,74.24165344238281,/kaggle/working/minority-guidance/results/baseline_seed20/samples_1x256x256x3.npz,2026-05-18T22:55:37.610735+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed20,minority-full,full,0,1000,3.5,20,1,0.9074739217758179,0.0970904678106308,92.57890486717224,/kaggle/working/minority-guidance/results/full_seed20/samples_1x256x256x3.npz,2026-05-18T22:57:15.051225+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed20,minority-early,early,0,333,3.5,20,1,1.0946371730824467e-05,11.422502517700195,81.24453735351562,/kaggle/working/minority-guidance/results/early_seed20/samples_1x256x256x3.npz,2026-05-18T22:58:40.969503+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed20,minority-mid,mid,333,667,3.5,20,1,1.1691577128658537e-06,13.65922737121582,81.10475397109985,/kaggle/working/minority-guidance/results/mid_seed20/samples_1x256x256x3.npz,2026-05-18T23:00:06.907913+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed20,minority-late,late,667,1000,3.5,20,1,2.9133968837413704e-06,12.746191024780273,81.31297659873962,/kaggle/working/minority-guidance/results/late_seed20/samples_1x256x256x3.npz,2026-05-18T23:01:32.916023+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed21,baseline,none,0,0,0.0,21,1,5.57220664632041e-06,12.097719192504883,74.77651810646057,/kaggle/working/minority-guidance/results/baseline_seed21/samples_1x256x256x3.npz,2026-05-18T23:02:52.518703+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed21,minority-full,full,0,1000,3.5,21,1,0.0890677347779274,2.418358325958252,93.1345899105072,/kaggle/working/minority-guidance/results/full_seed21/samples_1x256x256x3.npz,2026-05-18T23:04:30.471113+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed21,minority-early,early,0,333,3.5,21,1,1.2843230251746718e-05,11.262693405151367,81.51643204689026,/kaggle/working/minority-guidance/results/early_seed21/samples_1x256x256x3.npz,2026-05-18T23:05:57.013873+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed21,minority-mid,mid,333,667,3.5,21,1,0.0013653987552970648,6.596308708190918,81.8018445968628,/kaggle/working/minority-guidance/results/mid_seed21/samples_1x256x256x3.npz,2026-05-18T23:07:23.632354+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed21,minority-late,late,667,1000,3.5,21,1,0.004937950987368822,5.310804843902588,81.35719799995422,/kaggle/working/minority-guidance/results/late_seed21/samples_1x256x256x3.npz,2026-05-18T23:08:49.882223+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed22,baseline,none,0,0,0.0,22,1,6.706673048029188e-06,11.912407875061035,74.96364498138428,/kaggle/working/minority-guidance/results/baseline_seed22/samples_1x256x256x3.npz,2026-05-18T23:10:09.820381+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed22,minority-full,full,0,1000,3.5,22,1,0.3856823146343231,0.952741265296936,93.2622492313385,/kaggle/working/minority-guidance/results/full_seed22/samples_1x256x256x3.npz,2026-05-18T23:11:47.901552+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed22,minority-early,early,0,333,3.5,22,1,3.591478889575228e-05,10.23436164855957,81.26618146896362,/kaggle/working/minority-guidance/results/early_seed22/samples_1x256x256x3.npz,2026-05-18T23:13:14.083320+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed22,minority-mid,mid,333,667,3.5,22,1,3.2205764000536874e-05,10.343364715576172,81.25227189064026,/kaggle/working/minority-guidance/results/mid_seed22/samples_1x256x256x3.npz,2026-05-18T23:14:40.117769+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed22,minority-late,late,667,1000,3.5,22,1,0.01194374542683363,4.427547454833984,81.30241513252258,/kaggle/working/minority-guidance/results/late_seed22/samples_1x256x256x3.npz,2026-05-18T23:16:06.264970+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed23,baseline,none,0,0,0.0,23,1,1.9501803762977943e-06,13.147588729858398,74.78813982009888,/kaggle/working/minority-guidance/results/baseline_seed23/samples_1x256x256x3.npz,2026-05-18T23:17:25.837243+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed23,minority-full,full,0,1000,3.5,23,1,0.582711398601532,0.5400632619857788,92.85883116722107,/kaggle/working/minority-guidance/results/full_seed23/samples_1x256x256x3.npz,2026-05-18T23:19:03.519670+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed23,minority-early,early,0,333,3.5,23,1,4.772045031131711e-06,12.252735137939453,81.20550894737244,/kaggle/working/minority-guidance/results/early_seed23/samples_1x256x256x3.npz,2026-05-18T23:20:29.515963+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed23,minority-mid,mid,333,667,3.5,23,1,0.06981522589921951,2.661903142929077,81.30576586723328,/kaggle/working/minority-guidance/results/mid_seed23/samples_1x256x256x3.npz,2026-05-18T23:21:55.605547+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed23,minority-late,late,667,1000,3.5,23,1,3.5278626455692574e-05,10.252233505249023,81.27799034118652,/kaggle/working/minority-guidance/results/late_seed23/samples_1x256x256x3.npz,2026-05-18T23:23:21.756913+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed24,baseline,none,0,0,0.0,24,1,3.6013578210258856e-05,10.23161506652832,74.87541580200195,/kaggle/working/minority-guidance/results/baseline_seed24/samples_1x256x256x3.npz,2026-05-18T23:24:41.282561+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed24,minority-full,full,0,1000,3.5,24,1,0.3220381438732147,1.1330852508544922,92.69341945648193,/kaggle/working/minority-guidance/results/full_seed24/samples_1x256x256x3.npz,2026-05-18T23:26:18.492600+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed24,minority-early,early,0,333,3.5,24,1,0.00870767142623663,4.743550777435303,80.66925382614136,/kaggle/working/minority-guidance/results/early_seed24/samples_1x256x256x3.npz,2026-05-18T23:27:43.711948+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed24,minority-mid,mid,333,667,3.5,24,1,0.43781787157058716,0.8259522914886475,80.79650831222534,/kaggle/working/minority-guidance/results/mid_seed24/samples_1x256x256x3.npz,2026-05-18T23:29:09.091589+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed24,minority-late,late,667,1000,3.5,24,1,0.05175219476222992,2.9612884521484375,80.5222396850586,/kaggle/working/minority-guidance/results/late_seed24/samples_1x256x256x3.npz,2026-05-18T23:30:34.117511+00:00,vittorialanzo/windowed-minority-guidance-extended,17
