run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp
full_seed84,minority-full,full,0,1000,3.5,84,1,0.5980026721954346,0.5141600370407104,92.9699182510376,/kaggle/working/minority-guidance/results/full_seed84/samples_1x256x256x3.npz,2026-05-24T12:36:04.022958+00:00
early_seed84,minority-early,early,0,333,3.5,84,1,3.437447503529256e-06,12.580780982971191,81.2458930015564,/kaggle/working/minority-guidance/results/early_seed84/samples_1x256x256x3.npz,2026-05-24T12:37:30.043691+00:00
mid_seed84,minority-mid,mid,333,667,3.5,84,1,9.129485988523811e-06,11.60400104522705,81.4583306312561,/kaggle/working/minority-guidance/results/mid_seed84/samples_1x256x256x3.npz,2026-05-24T12:38:56.209921+00:00
late_seed84,minority-late,late,667,1000,3.5,84,1,5.791437615698669e-06,12.05912971496582,81.19640326499939,/kaggle/working/minority-guidance/results/late_seed84/samples_1x256x256x3.npz,2026-05-24T12:40:22.159703+00:00
baseline_seed85,baseline,none,0,0,0.0,85,1,4.424166945682373e-06,12.328428268432617,74.70784282684326,/kaggle/working/minority-guidance/results/baseline_seed85/samples_1x256x256x3.npz,2026-05-24T12:41:41.601273+00:00
full_seed85,minority-full,full,0,1000,3.5,85,1,0.799508273601532,0.22375838458538055,93.02532911300659,/kaggle/working/minority-guidance/results/full_seed85/samples_1x256x256x3.npz,2026-05-24T12:43:19.397227+00:00
early_seed85,minority-early,early,0,333,3.5,85,1,0.021332373842597008,3.847529411315918,81.29043531417847,/kaggle/working/minority-guidance/results/early_seed85/samples_1x256x256x3.npz,2026-05-24T12:44:45.419052+00:00
mid_seed85,minority-mid,mid,333,667,3.5,85,1,0.39536020159721375,0.9279580116271973,81.31796669960022,/kaggle/working/minority-guidance/results/mid_seed85/samples_1x256x256x3.npz,2026-05-24T12:46:11.571833+00:00
late_seed85,minority-late,late,667,1000,3.5,85,1,0.13160823285579681,2.027925491333008,81.2375168800354,/kaggle/working/minority-guidance/results/late_seed85/samples_1x256x256x3.npz,2026-05-24T12:47:37.606842+00:00
baseline_seed86,baseline,none,0,0,0.0,86,1,1.416053578395804e-06,13.467637062072754,74.72797775268555,/kaggle/working/minority-guidance/results/baseline_seed86/samples_1x256x256x3.npz,2026-05-24T12:48:57.140656+00:00
full_seed86,minority-full,full,0,1000,3.5,86,1,0.5088694095611572,0.6755639314651489,93.1344313621521,/kaggle/working/minority-guidance/results/full_seed86/samples_1x256x256x3.npz,2026-05-24T12:50:35.020275+00:00
early_seed86,minority-early,early,0,333,3.5,86,1,0.053451087325811386,2.928988218307495,81.32576727867126,/kaggle/working/minority-guidance/results/early_seed86/samples_1x256x256x3.npz,2026-05-24T12:52:01.121520+00:00
mid_seed86,minority-mid,mid,333,667,3.5,86,1,0.14454765617847443,1.9341460466384888,81.40046167373657,/kaggle/working/minority-guidance/results/mid_seed86/samples_1x256x256x3.npz,2026-05-24T12:53:27.281035+00:00
late_seed86,minority-late,late,667,1000,3.5,86,1,1.015527595882304e-05,11.497516632080078,81.35643672943115,/kaggle/working/minority-guidance/results/late_seed86/samples_1x256x256x3.npz,2026-05-24T12:54:53.419070+00:00
baseline_seed87,baseline,none,0,0,0.0,87,1,1.0131332146556815e-06,13.802462577819824,75.04501295089722,/kaggle/working/minority-guidance/results/baseline_seed87/samples_1x256x256x3.npz,2026-05-24T12:56:13.155696+00:00
full_seed87,minority-full,full,0,1000,3.5,87,1,0.1053415983915329,2.250546932220459,93.00296807289124,/kaggle/working/minority-guidance/results/full_seed87/samples_1x256x256x3.npz,2026-05-24T12:57:50.844901+00:00
early_seed87,minority-early,early,0,333,3.5,87,1,3.9846167965151835e-06,12.433069229125977,81.30794286727905,/kaggle/working/minority-guidance/results/early_seed87/samples_1x256x256x3.npz,2026-05-24T12:59:16.944134+00:00
mid_seed87,minority-mid,mid,333,667,3.5,87,1,0.00024265061074402183,8.323887825012207,81.28314685821533,/kaggle/working/minority-guidance/results/mid_seed87/samples_1x256x256x3.npz,2026-05-24T13:00:42.922333+00:00
late_seed87,minority-late,late,667,1000,3.5,87,1,8.815705950837582e-05,9.336390495300293,81.28010368347168,/kaggle/working/minority-guidance/results/late_seed87/samples_1x256x256x3.npz,2026-05-24T13:02:08.914353+00:00
baseline_seed88,baseline,none,0,0,0.0,88,1,3.3918809094757307e-07,14.896711349487305,74.94786286354065,/kaggle/working/minority-guidance/results/baseline_seed88/samples_1x256x256x3.npz,2026-05-24T13:03:28.686808+00:00
full_seed88,minority-full,full,0,1000,3.5,88,1,0.7123644948005676,0.3391655385494232,93.01179957389832,/kaggle/working/minority-guidance/results/full_seed88/samples_1x256x256x3.npz,2026-05-24T13:05:06.447302+00:00
early_seed88,minority-early,early,0,333,3.5,88,1,1.4527395251207054e-06,13.442059516906738,81.23479890823364,/kaggle/working/minority-guidance/results/early_seed88/samples_1x256x256x3.npz,2026-05-24T13:06:32.424775+00:00
mid_seed88,minority-mid,mid,333,667,3.5,88,1,0.5825724005699158,0.5403017997741699,81.5417263507843,/kaggle/working/minority-guidance/results/mid_seed88/samples_1x256x256x3.npz,2026-05-24T13:07:58.672217+00:00
late_seed88,minority-late,late,667,1000,3.5,88,1,0.005601439159363508,5.184731483459473,81.26555252075195,/kaggle/working/minority-guidance/results/late_seed88/samples_1x256x256x3.npz,2026-05-24T13:09:24.623358+00:00
baseline_seed89,baseline,none,0,0,0.0,89,1,2.5151719000859885e-06,12.893169403076172,74.87352752685547,/kaggle/working/minority-guidance/results/baseline_seed89/samples_1x256x256x3.npz,2026-05-24T13:10:44.137194+00:00
full_seed89,minority-full,full,0,1000,3.5,89,1,0.09881574660539627,2.3144984245300293,92.46651983261108,/kaggle/working/minority-guidance/results/full_seed89/samples_1x256x256x3.npz,2026-05-24T13:12:21.172078+00:00
early_seed89,minority-early,early,0,333,3.5,89,1,4.029164756502723e-06,12.421951293945312,80.91617751121521,/kaggle/working/minority-guidance/results/early_seed89/samples_1x256x256x3.npz,2026-05-24T13:13:46.677955+00:00
mid_seed89,minority-mid,mid,333,667,3.5,89,1,0.03235868364572525,3.430872917175293,81.04826211929321,/kaggle/working/minority-guidance/results/mid_seed89/samples_1x256x256x3.npz,2026-05-24T13:15:12.404558+00:00
late_seed89,minority-late,late,667,1000,3.5,89,1,1.1680578609229997e-05,11.357583045959473,81.02843141555786,/kaggle/working/minority-guidance/results/late_seed89/samples_1x256x256x3.npz,2026-05-24T13:16:38.079573+00:00
baseline_seed90,baseline,none,0,0,0.0,90,1,1.4566259665116377e-07,15.741972923278809,74.4351258277893,/kaggle/working/minority-guidance/results/baseline_seed90/samples_1x256x256x3.npz,2026-05-24T13:17:57.121613+00:00
full_seed90,minority-full,full,0,1000,3.5,90,1,0.5674945712089539,0.5665241479873657,92.62382984161377,/kaggle/working/minority-guidance/results/full_seed90/samples_1x256x256x3.npz,2026-05-24T13:19:34.529083+00:00
